track_id,track_name,artist_name,album_name,release_date,popularity,track_url,artist_id,genres
7dltD9eEX7X1zk8JJ9BS0e,Superstar (feat. Matthew Santos),Lupe Fiasco,Lupe Fiasco's The Cool,2007-01-01,66,https://open.spotify.com/track/7dltD9eEX7X1zk8JJ9BS0e,01QTIT5P1pFP3QnnFSdsJf,[]
7fURZRPkB2S70sYR1naKTK,Black Hole Sun,Soundgarden,Superunknown,1994-01-01,50,https://open.spotify.com/track/7fURZRPkB2S70sYR1naKTK,5xUf6j4upBrXZPg6AI4MRK,"['grunge', 'post-grunge', 'hard rock']"
7hiDIQujlouMkiMT66DEE8,Live It Up,2Pac,California Love,2019-08-01,16,https://open.spotify.com/track/7hiDIQujlouMkiMT66DEE8,1ZwdS5xdxEREPySFridCfh,"['gangster rap', 'west coast hip hop', 'g-funk', 'hip hop']"
7i0cuRRMSpd3wIzfshujTY,Come Morning - Tribe Vocal Remix,Russell Taylor,Come Morning (The Remixes),2020-12-01,0,https://open.spotify.com/track/7i0cuRRMSpd3wIzfshujTY,50CrGn6dDYeVodcHOyhFYt,[]
7lQ8MOhq6IN2w8EYcFNSUk,Without Me,Eminem,The Eminem Show,2002-05-26,85,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk,7dGJo4pcD2V6oG8kP0tJRR,"['rap', 'hip hop']"
7niuvgIISf1vGrnh00cVuQ,"Te amaré, te amo, y te querré",Mari Trini,Oraciones de amor,1981,42,https://open.spotify.com/track/7niuvgIISf1vGrnh00cVuQ,0CVHw8AAgA5brxfblp1lsQ,['bolero']
7snQQk1zcKl8gZ92AnueZW,Sweet Child O' Mine,Guns N' Roses,Appetite For Destruction,1987-07-21,83,https://open.spotify.com/track/7snQQk1zcKl8gZ92AnueZW,3qm84nBOXUEQ2vnTfUTTFC,"['rock', 'glam metal', 'hard rock', 'classic rock']"
7ve3QsU7QcPdl8DnsyywGv,One Assassination Under God,Marilyn Manson,One Assassination Under God - Chapter 1,2024-11-22,55,https://open.spotify.com/track/7ve3QsU7QcPdl8DnsyywGv,2VYQTNDsvvKN9wmU5W7xpj,"['industrial metal', 'industrial rock', 'industrial', 'metal', 'nu metal']"
7x8dCjCr0x6x2lXKujYD34,The Pretender,Foo Fighters,"Echoes, Silence, Patience & Grace",2007-09-25,75,https://open.spotify.com/track/7x8dCjCr0x6x2lXKujYD34,7jy3rLJdDQY21OgRLCZ9sD,"['rock', 'post-grunge', 'alternative rock', 'grunge', 'modern rock']"
7zSwYQqNI3cQgO3wu0RLT7,Porro Operativo,Lucho Bermúdez,Por Siempre,2015-09-15,12,https://open.spotify.com/track/7zSwYQqNI3cQgO3wu0RLT7,5x1E6GVoNd2Haj7Jtvg3E0,"['música tropical', 'cumbia']"
